school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Dunlap,Dunlap,public,False,False,0.0,0.0,1416.0,40.8444,-89.6397,2A,2A,2A,2A,2A,1A,3A,3A,3A,,2A,2A,2A,3A,3A,2A,1A,3A,3A
Dupo,Dupo,public,False,False,0.0,0.0,244.0,38.5162,-90.2104,1A,1A,1A,1A,,,1A,1A,1A,,1A,1A,1A,1A,1A,,,1A,1A
DuQuoin (H.S.),Du Quoin,public,False,False,0.0,0.0,384.0,38.0137,-89.2333,1A,1A,1A,1A,,,2A,2A,2A,1A,1A,1A,,2A,2A,1A,,1A,1A
Durand,Durand,public,False,False,0.0,0.0,160.0,42.4337,-89.3094,1A,1A,,,,,1A,1A,1A,,,,1A,,1A,,,,
Dwight,Dwight,public,False,False,0.0,0.0,210.0,41.0887,-88.4159,1A,1A,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Earlville,Earlville,public,False,False,0.0,0.0,98.0,41.5859,-88.9103,,,1A,,1A,,1A,1A,1A,,,,,1A,1A,,,,
East Dubuque,East Dubuque,public,False,False,0.0,0.0,179.0,42.4875,-90.6046,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
East Moline (United),East Moline,public,False,False,0.0,0.0,1839.0,41.5118,-90.4321,3A,3A,3A,,3A,2A,4A,4A,4A,,,2A,3A,4A,4A,3A,2A,3A,3A
East Peoria,East Peoria,public,False,False,0.0,0.0,802.0,40.6696,-89.56575000000001,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,2A,3A,3A,2A,1A,2A,2A
East St. Louis (SIUE Charter),East St. Louis,public_nonboundaried,False,False,0.0,0.0,99.0,38.60604285714286,-90.12527142857142,,,,,,,,1A,,,,,,,,,,1A,1A
East St. Louis (Sr.),East St. Louis,public,False,False,0.0,0.0,1146.0,38.60604285714286,-90.12527142857142,2A,2A,,,,,3A,3A,3A,,,,2A,3A,3A,,,2A,2A
Edinburg,Edinburg,public,False,False,0.0,0.0,72.0,39.6612,-89.3779,,,,,,,1A,1A,,,,1A,,1A,,,,1A,1A
Edwardsville (H.S.),Edwardsville,public,False,False,0.0,0.0,2331.0,38.8082,-89.95845,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Edwardsville (Metro-East Lutheran),Edwardsville,private,True,False,7.0,19.0,219.0,38.8082,-89.95845,1A,1A,1A,,1A,1A,2A,2A,2A,,,2A,1A,2A,,1A,1A,1A,1A
Effingham (H.S.),Effingham,public,False,False,0.0,0.0,676.0,39.1217,-88.5611,2A,2A,2A,1A,1A,1A,2A,2A,2A,1A,,2A,1A,2A,2A,,1A,2A,2A
Effingham (St. Anthony),Effingham,private,True,False,5.0,14.0,218.0,39.1217,-88.5611,1A,1A,2A,1A,1A,1A,2A,2A,2A,,1A,1A,,2A,2A,,1A,1A,1A
El Paso (E.P.-Gridley),El Paso,public,False,False,0.0,0.0,355.0,40.7389,-89.012,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Eldorado,Eldorado,public,False,False,0.0,0.0,307.0,37.8139,-88.4434,1A,1A,1A,1A,,,2A,2A,2A,,,1A,,2A,2A,,,1A,1A
Elgin (H.S.),Elgin,public,False,False,0.0,0.0,2383.0,42.035624999999996,-88.308775,3A,3A,3A,,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Elgin (Larkin),Elgin,public,False,False,0.0,0.0,2021.0,42.035624999999996,-88.308775,3A,3A,,,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Elgin (River Valley Christian),Elgin,private,True,False,,,238.0,42.035624999999996,-88.308775,1A,1A,1A,,1A,,2A,2A,2A,,,,1A,2A,1A,1A,,1A,1A
Elgin (St. Edward),Elgin,private,True,False,2.0,5.0,204.0,42.035624999999996,-88.308775,1A,1A,1A,1A,1A,,2A,1A,2A,1A,,,1A,1A,1A,1A,,1A,1A
Elizabethtown (Hardin County),Elizabethtown,public,False,False,0.0,0.0,173.0,37.4665,-88.2867,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Elk Grove Village (E.G.),Elk Grove Village,public,False,False,0.0,0.0,1784.0,42.00575,-87.98169999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,2A,2A,3A,3A
Elkville (Elverado),Elkville,public,False,False,0.0,0.0,98.0,37.9155,-89.2336,,,,,,,1A,1A,1A,,,,,1A,1A,,,,
Elmhurst (IC Catholic),Elmhurst,private,True,False,3.0,7.0,322.0,41.8927,-87.941,1A,1A,2A,1A,1A,1A,3A,2A,2A,,1A,,2A,2A,2A,1A,,1A,1A
Elmhurst (Timothy Christian),Elmhurst,private,True,False,3.0,7.0,449.0,41.8927,-87.941,2A,1A,1A,1A,2A,1A,3A,2A,2A,2A,,2A,,3A,3A,1A,1A,1A,2A
Elmhurst (York),Elmhurst,public,False,False,0.0,0.0,2571.0,41.8927,-87.941,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Elmwood,Elmwood,public,False,False,0.0,0.0,201.0,40.7726,-89.9289,1A,1A,1A,1A,,,1A,1A,1A,,1A,1A,,,,,,1A,1A
Elmwood Park,Elmwood Park,public,False,False,0.0,0.0,998.0,41.9232,-87.8185,2A,2A,2A,,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,,2A,2A
Erie,Erie,public,False,False,0.0,0.0,186.0,41.656,-90.0843,,,1A,1A,,,,,2A,,,1A,1A,,,,,1A,1A
Eureka,Eureka,public,False,False,0.0,0.0,506.0,40.7152,-89.2706,1A,1A,2A,1A,,,2A,2A,2A,1A,1A,2A,1A,2A,2A,,,2A,2A
Evanston (Beacon Academy),Evanston,private,True,False,2.0,4.0,152.0,42.04711666666667,-87.69206666666666,1A,1A,,,1A,,1A,1A,1A,,,,,,,1A,,1A,
Evanston (Roycemore),Evanston,private,True,False,2.0,4.0,63.0,42.04711666666667,-87.69206666666666,,,,,,,1A,,,,,1A,,,,,,,1A
Evanston (Twp.),Evanston,public,False,False,0.0,0.0,3465.0,42.04711666666667,-87.69206666666666,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Evergreen Park,Evergreen Park,public,False,False,0.0,0.0,917.0,41.722,-87.7024,2A,2A,2A,2A,2A,,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,,2A,2A
Fairbury (Prairie Central),Fairbury,public,False,False,0.0,0.0,475.0,40.745,-88.5165,1A,1A,1A,1A,,,2A,2A,2A,1A,,2A,1A,2A,2A,,,2A,2A
Fairfield,Fairfield,public,False,False,0.0,0.0,435.0,38.3782,-88.3593,1A,1A,1A,1A,,1A,2A,2A,2A,1A,,1A,1A,2A,2A,,1A,1A,1A
Farina (South Central),Farina,public,False,False,0.0,0.0,180.0,38.8469,-88.7614,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Farmer City (Blue Ridge),Farmer City,public,False,False,0.0,0.0,154.0,40.2447,-88.6634,,,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Farmington,Farmington,public,False,False,0.0,0.0,364.0,40.6832,-90.035,1A,1A,1A,1A,,,2A,2A,2A,1A,,1A,1A,2A,2A,,,1A,1A
Fisher,Fisher,public,False,False,0.0,0.0,195.0,40.2991,-88.356,,,1A,,1A,,1A,1A,1A,1A,,1A,,1A,1A,,,1A,1A
Fithian (Oakwood),Fithian,public,False,False,0.0,0.0,249.0,40.1192,-87.8797,1A,1A,1A,1A,1A,,1A,1A,1A,1A,1A,1A,1A,1A,2A,,,1A,1A
Flanagan (F.-Cornell),Flanagan,public,False,False,0.0,0.0,104.0,40.879,-88.862,,,1A,,,,1A,1A,1A,,,1A,,,,,,1A,1A
Flora,Flora,public,False,False,0.0,0.0,350.0,38.6703,-88.4919,,,1A,1A,,1A,2A,2A,2A,1A,,1A,,2A,2A,,1A,1A,1A
Flossmoor (Homewood-F.),Flossmoor,public,False,False,0.0,0.0,2657.0,41.5406,-87.6837,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Forreston,Forreston,public,False,False,0.0,0.0,234.0,42.1229,-89.5831,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Fox Lake (Grant),Fox Lake,public,False,False,0.0,0.0,1723.0,42.3937,-88.1648,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Frankfort (Lincoln-Way East),Frankfort,public,False,False,0.0,0.0,2676.0,41.5094,-87.8248,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Franklin,Franklin,public,False,False,0.0,0.0,124.0,39.6222,-90.0889,1A,1A,,,,,1A,1A,,,,,,,,,,,
Franklin Park-Northlake (Leyden),Franklin Park,public,False,False,0.0,0.0,3396.0,41.9339,-87.8734,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Freeburg,Freeburg,public,False,False,0.0,0.0,664.0,38.408,-89.9181,2A,2A,2A,1A,1A,,2A,2A,2A,,1A,2A,1A,2A,2A,1A,,2A,2A
Freeport (H.S.),Freeport,public,False,False,0.0,0.0,1100.0,42.2991,-89.6345,2A,2A,2A,,2A,1A,3A,3A,3A,2A,2A,,2A,3A,3A,2A,1A,2A,2A
Fulton (H.S.),Fulton,public,False,False,0.0,0.0,278.0,41.8522,-90.1507,,,1A,,,,1A,1A,1A,1A,,1A,1A,1A,1A,,,1A,1A
Galatia,Galatia,public,False,False,0.0,0.0,115.0,37.8274,-88.6235,1A,,,,,,1A,1A,,,,1A,,1A,1A,,,,
Galena (H.S.),Galena,public,False,False,0.0,0.0,258.0,42.4182,-90.4195,,,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,1A,,2A,2A
Galesburg (H.S.),Galesburg,public,False,False,0.0,0.0,1127.0,40.94995,-90.37049999999999,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Galva,Galva,public,False,False,0.0,0.0,133.0,41.1656,-90.0481,1A,1A,1A,,,,1A,1A,1A,,1A,1A,,1A,1A,,,1A,1A
Gardner (G.-South Wilmington),Gardner,public,False,False,0.0,0.0,155.0,41.1775,-88.338,,,,,,,1A,1A,1A,,1A,1A,,1A,1A,,,,
Geneseo,Geneseo,public,False,False,0.0,0.0,792.0,41.4688,-90.1711,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,2A,3A,3A,1A,1A,2A,2A
Geneva,Geneva,public,False,False,0.0,0.0,1594.0,41.886,-88.311,3A,3A,3A,2A,2A,2A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,2A,3A,3A
Genoa (G.-Kingston),Genoa,public,False,False,0.0,0.0,477.0,42.0981,-88.6908,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,,1A,2A,2A,1A,,2A,2A
Georgetown (G.-Ridge Farm),Georgetown,public,False,False,0.0,0.0,230.0,39.9792,-87.6365,,,,,1A,,1A,1A,1A,,,1A,,2A,1A,,,1A,1A
Georgetown (La Salette),Georgetown,private,True,False,5.0,13.0,196.0,39.9792,-87.6365,1A,,,,,,,1A,,,,,,,,,,,
Gibson City (G.C.-Melvin-Sibley),Gibson City,public,False,False,0.0,0.0,269.0,40.4659,-88.3609,,,1A,1A,,1A,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Gillespie,Gillespie,public,False,False,0.0,0.0,327.0,39.1341,-89.8442,1A,1A,1A,,,,2A,2A,2A,,,1A,,2A,2A,1A,,1A,1A
Gilman (Iroquois West),Gilman,public,False,False,0.0,0.0,243.0,40.768,-87.9933,1A,,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Glasford (Illini Bluffs),Glasford,public,False,False,0.0,0.0,237.0,40.576,-89.8113,1A,1A,1A,1A,1A,,1A,1A,1A,1A,,1A,1A,1A,1A,,,1A,1A
Glen Carbon (Father McGivney),Glen Carbon,private,True,False,7.0,19.0,329.0,38.7609,-89.9706,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,1A,,2A,2A,1A,,1A,2A
Glen Ellyn (Glenbard South),Glen Ellyn,public,False,False,0.0,0.0,1091.0,41.8718,-88.0659,2A,2A,2A,2A,2A,1A,3A,3A,3A,C,2A,2A,2A,3A,3A,2A,1A,2A,2A
Glen Ellyn (Glenbard West),Glen Ellyn,public,False,False,0.0,0.0,2299.0,41.8718,-88.0659,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Glenview (Glenbrook South),Glenview,public,False,False,0.0,0.0,2921.0,42.0728,-87.80505,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Golconda (Pope County),Golconda,public,False,False,0.0,0.0,140.0,37.3602,-88.4886,1A,1A,,,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Goreville,Goreville,public,False,False,0.0,0.0,165.0,37.575,-88.9655,,,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Granite City,Granite City,public,False,False,0.0,0.0,1652.0,38.7261,-90.1106,3A,3A,3A,2A,2A,2A,4A,4A,4A,C,,2A,2A,4A,4A,2A,2A,3A,3A
Grant Park,Grant Park,public,False,False,0.0,0.0,125.0,41.2477,-87.648,,,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,,
Granville (Putnam County),Granville,public,False,False,0.0,0.0,236.0,41.2642,-89.225,,,1A,,,,1A,1A,1A,,1A,1A,1A,1A,1A,,,1A,1A
Grayslake (Central),Grayslake,public,False,False,0.0,0.0,1325.0,42.3524,-88.0545,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Grayslake (North),Grayslake,public,False,False,0.0,0.0,1164.0,42.3524,-88.0545,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Grayville,Grayville,public,False,False,0.0,0.0,84.0,38.2627,-88.0035,1A,,,,,,1A,1A,,,,1A,,,1A,,,1A,1A
Greenfield,Greenfield,public,False,False,0.0,0.0,105.0,39.3491,-90.2089,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Greenview,Greenview,public,False,False,0.0,0.0,69.0,40.1017,-89.7469,,1A,1A,1A,,,1A,1A,,,,1A,,,,,,1A,1A
Greenville,Greenville,public,False,False,0.0,0.0,471.0,38.8933,-89.4052,1A,1A,1A,1A,1A,1A,2A,2A,2A,1A,,2A,,2A,2A,1A,1A,2A,2A
Griggsville (G.-Perry),Griggsville,public,False,False,0.0,0.0,87.0,39.7084,-90.7249,,,1A,,,,1A,1A,,,,,,,1A,,,,
Gurnee (Warren),Gurnee,public,False,False,0.0,0.0,3398.0,42.3669,-87.9452,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Hamilton,Hamilton,public,False,False,0.0,0.0,189.0,40.3964,-91.339,1A,1A,1A,1A,,,,,2A,,,1A,,2A,,,,,
Hampshire,Hampshire,public,False,False,0.0,0.0,1994.0,42.0807,-88.517,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Hanover (River Ridge),Hanover,public,False,False,0.0,0.0,126.0,42.2594,-90.2897,,,1A,1A,,,1A,1A,1A,,,1A,,1A,,,,,
Hardin (Calhoun),Hardin,public,False,False,0.0,0.0,170.0,39.1547,-90.624,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Harrisburg,Harrisburg,public,False,False,0.0,0.0,482.0,37.7257,-88.544,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,2A,,2A,2A
Hartsburg (H.-Emden),Hartsburg,public,False,False,0.0,0.0,51.0,40.2451,-89.4519,,,,,,,1A,1A,,,,,,,1A,,,,
Harvard,Harvard,public,False,False,0.0,0.0,803.0,42.4227,-88.6048,2A,2A,2A,,2A,,3A,3A,3A,2A,,2A,2A,3A,3A,2A,,2A,2A
Harvey (Thornton),Harvey,public,False,False,0.0,0.0,1530.0,41.6103,-87.6534,2A,2A,,,3A,,3A,3A,3A,C,,2A,3A,3A,3A,,,3A,3A
Havana,Havana,public,False,False,0.0,0.0,242.0,40.3,-90.061,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Hebron (Alden-H.),Hebron,public,False,False,0.0,0.0,109.0,42.4642,-88.4176,,,,,,,1A,1A,1A,,,,1A,1A,1A,,,1A,1A
Henry (H.-Senachwine),Henry,public,False,False,0.0,0.0,141.0,41.1115,-89.3743,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Herrin (H.S.),Herrin,public,False,False,0.0,0.0,635.0,37.8019,-89.0232,2A,2A,2A,1A,,1A,2A,2A,2A,1A,1A,2A,1A,2A,2A,,1A,2A,2A
Herscher,Herscher,public,False,False,0.0,0.0,516.0,41.0464,-88.0858,1A,1A,2A,,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Heyworth,Heyworth,public,False,False,0.0,0.0,260.0,40.3307,-88.9776,1A,1A,1A,1A,,,1A,1A,1A,1A,,1A,1A,1A,1A,,,1A,1A
Highland,Highland,public,False,False,0.0,0.0,838.0,38.7631,-89.6789,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Highland Park,Highland Park,public,False,False,0.0,0.0,1609.0,42.1794,-87.8059,3A,3A,3A,2A,2A,2A,4A,4A,4A,,,2A,2A,4A,4A,2A,2A,3A,3A
Hillsboro,Hillsboro,public,False,False,0.0,0.0,427.0,39.1494,-89.4881,,,1A,1A,1A,1A,2A,2A,2A,1A,,1A,1A,2A,2A,1A,1A,1A,1A
Hillside (Proviso West),Hillside,public,False,False,0.0,0.0,2166.0,41.8725,-87.9016,3A,3A,3A,,3A,2A,4A,4A,4A,,,2A,3A,4A,,3A,2A,3A,3A
Hinckley (H.-Big Rock),Hinckley,public,False,False,0.0,0.0,209.0,41.7691,-88.6448,1A,1A,1A,1A,1A,,1A,1A,1A,,,,,1A,1A,1A,,1A,1A
Hinsdale (Central),Hinsdale,public,False,False,0.0,0.0,2401.0,41.826600000000006,-87.97246666666668,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,,2A,3A,4A,4A,3A,2A,3A,3A
Hoffman Estates (Conant),Hoffman Estates,public,False,False,0.0,0.0,2610.0,42.05713333333333,-88.13666666666666,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Hoffman Estates (H.S.),Hoffman Estates,public,False,False,0.0,0.0,2168.0,42.05713333333333,-88.13666666666666,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Hoopeston (H. Area),Hoopeston,public,False,False,0.0,0.0,299.0,40.4639,-87.6662,1A,1A,1A,1A,1A,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Hume (Shiloh),Hume,public,False,False,0.0,0.0,109.0,39.8009,-87.8747,,,,,,,,1A,1A,,,,,,1A,,,1A,1A
Huntley,Huntley,public,False,False,0.0,0.0,2746.0,42.1756,-88.4268,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Hutsonville,Hutsonville,public,False,False,0.0,0.0,77.0,39.1064,-87.6695,,,,,,,1A,2A,,,,,,,1A,,,,
Jacksonville (H.S.),Jacksonville,public,False,False,0.0,0.0,840.0,39.7161,-90.24525,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Jacksonville (Illinois School for the Deaf),Jacksonville,public_nonboundaried,False,False,0.0,0.0,54.0,39.7161,-90.24525,,,,,,,,1A,,,,,,,,,,1A,1A
Jacksonville (Illinois School for the Visually Impaired),Jacksonville,public_nonboundaried,False,False,0.0,0.0,20.0,39.7161,-90.24525,,,,,,,,,,,,,1A,,,,,,
Jacksonville (Routt),Jacksonville,private,True,False,6.0,17.0,116.0,39.7161,-90.24525,,,1A,,,,1A,1A,,,,1A,,1A,1A,,,1A,1A
Jerseyville (Jersey),Jerseyville,public,False,False,0.0,0.0,780.0,39.1213,-90.3338,2A,2A,2A,,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,1A,1A,2A,2A
Johnsburg,Mchenry,public,False,False,0.0,0.0,488.0,42.34265,-88.26245,1A,1A,1A,1A,1A,1A,2A,2A,2A,1A,1A,2A,1A,2A,2A,1A,1A,2A,2A
Johnston City,Johnston City,public,False,False,0.0,0.0,326.0,37.8245,-88.9209,,,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Joliet (Catholic Academy),Joliet,private,True,False,3.0,9.0,587.0,41.513349999999996,-88.07074999999999,2A,2A,2A,1A,1A,1A,3A,3A,2A,2A,1A,2A,3A,3A,3A,2A,1A,2A,2A
Joliet (Central),Joliet,public,False,False,0.0,0.0,3259.0,41.513349999999996,-88.07074999999999,3A,3A,3A,2A,3A,,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,,3A,3A
Joliet (West),Joliet,public,False,False,0.0,0.0,3293.0,41.513349999999996,-88.07074999999999,3A,3A,,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Joppa (J.-Maple Grove),Joppa,public,False,False,0.0,0.0,46.0,37.2092,-88.8442,,,,,,,1A,1A,1A,,,1A,,,1A,,,,
Junction (Gallatin County),Junction,public,False,False,0.0,0.0,199.0,37.6952,-88.2491,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Kankakee (Grace Christian Academy),Kankakee,private,True,False,3.0,9.0,71.0,41.1166,-87.8696,,,,,,,1A,1A,1A,,,,,,,,,,
Kankakee (McNamara),Kankakee,private,True,False,3.0,9.0,336.0,41.1166,-87.8696,1A,1A,1A,1A,1A,1A,2A,2A,2A,1A,1A,,1A,2A,2A,1A,,1A,1A
Kankakee (Sr.),Kankakee,public,False,False,0.0,0.0,1297.0,41.1166,-87.8696,2A,2A,2A,,2A,2A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,2A,3A,3A
Kansas,Kansas,public,False,False,0.0,0.0,51.0,39.5525,-87.9352,,,,,,,1A,,,,,1A,,1A,,,,,
Kewanee (H.S.),Kewanee,public,False,False,0.0,0.0,579.0,41.2411,-89.9274,1A,,2A,,1A,1A,2A,2A,2A,,1A,2A,1A,2A,2A,,,2A,2A
Kewanee (Wethersfield),Kewanee,public,False,False,0.0,0.0,138.0,41.2411,-89.9274,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Kincaid (South Fork),Kincaid,public,False,False,0.0,0.0,73.0,39.5838,-89.4185,,,,,,,,,1A,1A,,,,,,,,,
Kirkland (Hiawatha),Kirkland,public,False,False,0.0,0.0,119.0,42.1014,-88.8685,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Knoxville,Knoxville,public,False,False,0.0,0.0,275.0,40.9107,-90.2871,1A,1A,1A,,,,1A,1A,1A,1A,1A,1A,1A,1A,1A,,,1A,1A
LaGrange (Lyons),La Grange,public,False,False,0.0,0.0,3653.0,41.7842,-87.8689,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
LaGrange Park (Nazareth Academy),La Grange Park,private,True,False,3.0,8.0,790.0,41.8318,-87.874,2A,2A,2A,2A,2A,1A,3A,3A,4A,2A,2A,,2A,3A,3A,2A,1A,3A,3A
Lake Forest (H.S.),Lake Forest,public,False,False,0.0,0.0,1349.0,42.2374,-87.8482,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Lake Forest (Woodlands Academy),Lake Forest,private,True,False,2.0,6.0,104.0,42.2374,-87.8482,,,,,,1A,1A,,1A,,,1A,,,1A,1A,,,
Lake Villa (Lakes),Lake Villa,public,False,False,0.0,0.0,1270.0,42.3813,-87.9991,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Lake Zurich,Lake Zurich,public,False,False,0.0,0.0,1794.0,42.193250000000006,-88.03344999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
LaMoille,La Moille,public,False,False,0.0,0.0,60.0,41.5376,-89.297,,,,,,,1A,1A,,,,,,,,,,,
Lanark (Eastland),Lanark,public,False,False,0.0,0.0,187.0,42.0935,-89.8247,,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,,
Lansing (Thornton Fractional South),Lansing,public,False,False,0.0,0.0,1645.0,41.566,-87.5446,3A,3A,3A,,,2A,4A,4A,4A,3A,2A,2A,2A,4A,4A,,2A,3A,3A
LaSalle (L.-Peru),La Salle,public,False,False,0.0,0.0,1137.0,41.3442,-89.0955,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
